ID;Noun;Gender;Year;Artist
6;Schicksal;['Neut'];2022;Die Toten Hosen
6;Hände;['Fem'];2022;Die Toten Hosen
6;Ewigkeit;['Fem'];2022;Die Toten Hosen
6;Menschheit;['Fem'];2022;Die Toten Hosen
6;Frieden;['Masc'];2022;Die Toten Hosen
6;Freundschaft;['Fem'];2022;Die Toten Hosen
6;Planet;['Masc'];2022;Die Toten Hosen
6;Liebe;['Fem'];2022;Die Toten Hosen
6;Erde;['Fem'];2022;Die Toten Hosen
6;Sonne;['Fem'];2022;Die Toten Hosen
6;Refrain;['Masc'];2022;Die Toten Hosen
6;Zeit;['Fem'];2022;Die Toten Hosen
6;Woh-ho;['Neut'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Zeit;['Fem'];2022;Die Toten Hosen
6;Woh-ho;['Neut'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Strophe;['Fem'];2022;Die Toten Hosen
6;Mal;['Neut'];2022;Die Toten Hosen
6;Vertrauen;['Neut'];2022;Die Toten Hosen
6;Traum;['Masc'];2022;Die Toten Hosen
6;Sieg;['Masc'];2022;Die Toten Hosen
6;Gerechtigkeit;['Fem'];2022;Die Toten Hosen
6;Anstand;['Masc'];2022;Die Toten Hosen
6;Moral;['Fem'];2022;Die Toten Hosen
6;Wiederauferstehung;['Fem'];2022;Die Toten Hosen
6;Geist;['Masc'];2022;Die Toten Hosen
6;Weihnachtsmann;['Masc'];2022;Die Toten Hosen
6;Refrain;['Masc'];2022;Die Toten Hosen
6;Zeit;['Fem'];2022;Die Toten Hosen
6;Woh-ho;['Neut'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Zeit;['Fem'];2022;Die Toten Hosen
6;Woh-ho;['Neut'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Refrain;['Masc'];2022;Die Toten Hosen
6;Zeit;['Fem'];2022;Die Toten Hosen
6;Woh-ho;['Neut'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Zeit;['Fem'];2022;Die Toten Hosen
6;Woh-ho;['Neut'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Zeit;['Fem'];2022;Die Toten Hosen
6;woh-ho;['Neut'];2022;Die Toten Hosen
6;Woh-hoo-hoo-ho-ho;['Neut'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Zeit;['Fem'];2022;Die Toten Hosen
6;woh-ho;['Neut'];2022;Die Toten Hosen
6;Woh-hoo-hoo-ho-ho;['Neut'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Outro;['Neut'];2022;Die Toten Hosen
6;Wünsch;['Masc'];2022;Die Toten Hosen
6;Wünsch;['Masc'];2022;Die Toten Hosen
6;wasEmbed;['Masc'];2022;Die Toten Hosen
7;Songtext;['Masc'];2022;Die Toten Hosen
7;Strophe;['Fem'];2022;Die Toten Hosen
7;Mädchen;['Neut'];2022;Die Toten Hosen
7;Hauptstadt;['Fem'];2022;Die Toten Hosen
7;Herz;['Neut'];2022;Die Toten Hosen
7;Swimmingpool;['Masc'];2022;Die Toten Hosen
7;Villen;['Fem'];2022;Die Toten Hosen
7;Tod;['Masc'];2022;Die Toten Hosen
7;Rasen;['Masc'];2022;Die Toten Hosen
7;Gegend;['Fem'];2022;Die Toten Hosen
7;Refrain;['Masc'];2022;Die Toten Hosen
7;Strophe;['Fem'];2022;Die Toten Hosen
7;Lärm;['Masc'];2022;Die Toten Hosen
7;Hipsterviertel;['Neut'];2022;Die Toten Hosen
7;Straßen;['Fem'];2022;Die Toten Hosen
7;Fahr;['Fem'];2022;Die Toten Hosen
7;Luft;['Fem'];2022;Die Toten Hosen
7;Duft;['Masc'];2022;Die Toten Hosen
7;Refrain;['Masc'];2022;Die Toten Hosen
7;Palmen;['Fem'];2022;Die Toten Hosen
7;Sand;['Masc'];2022;Die Toten Hosen
7;Ort;['Masc'];2022;Die Toten Hosen
7;Refrain;['Masc'];2022;Die Toten Hosen
7;Teppich;['Masc'];2022;Die Toten Hosen
7;Öl;['Neut'];2022;Die Toten Hosen
7;Flammen;['Fem'];2022;Die Toten Hosen
7;dirEmbed;['Masc'];2022;Die Toten Hosen
8;Songtext;['Masc'];2022;Die Toten Hosen
8;Strophe;['Fem'];2022;Die Toten Hosen
8;];['Neut'];2022;Die Toten Hosen
8;schirm;['Masc'];2022;Die Toten Hosen
8;Kameras;['Fem'];2022;Die Toten Hosen
8;Versteck;['Neut'];2022;Die Toten Hosen
8;Panzerglas;['Neut'];2022;Die Toten Hosen
8;Hab;[];2022;Die Toten Hosen
8;Umfeld;['Neut'];2022;Die Toten Hosen
8;Visier;['Neut'];2022;Die Toten Hosen
8;Gedanken;['Masc'];2022;Die Toten Hosen
8;Schritt;['Masc'];2022;Die Toten Hosen
8;Teppich;['Masc'];2022;Die Toten Hosen
8;Rampenlicht;['Neut'];2022;Die Toten Hosen
8;Refrain;['Masc'];2022;Die Toten Hosen
8;Schritt;['Masc'];2022;Die Toten Hosen
8;Seite;['Fem'];2022;Die Toten Hosen
8;Bess'ren;['Masc'];2022;Die Toten Hosen
8;Strophe;['Fem'];2022;Die Toten Hosen
8;Fang;['Masc'];2022;Die Toten Hosen
8;Kugel;['Fem'];2022;Die Toten Hosen
8;Kenn;['Masc'];2022;Die Toten Hosen
8;Schmerz;['Masc'];2022;Die Toten Hosen
8;Angst;['Fem'];2022;Die Toten Hosen
8;Prügel;['Fem'];2022;Die Toten Hosen
8;Gorilla;['Masc'];2022;Die Toten Hosen
8;Tag;['Masc'];2022;Die Toten Hosen
8;Nacht;['Fem'];2022;Die Toten Hosen
8;Knopf;['Masc'];2022;Die Toten Hosen
8;Ohr;['Neut'];2022;Die Toten Hosen
8;lauf;['Masc'];2022;Die Toten Hosen
