,Noun,Year,Artist,Popularity
310,Kind,2019,SDP,41
311,Kind,2019,SDP,41
312,Kind,2019,SDP,33
313,Kind,2019,SDP,33
314,Kind,2019,SDP,33
315,Menschen,2019,SDP,21
316,Ansage,2019,SDP,21
317,Publikum,2019,SDP,21
318,Publikum,2019,SDP,21
319,Publikum,2019,SDP,21
320,Publikum,2019,SDP,21
321,Publikum,2019,SDP,21
322,Publikum,2019,SDP,21
323,Publikum,2019,SDP,21
324,Publikum,2019,SDP,21
325,Publikum,2019,SDP,21
326,Publikum,2019,SDP,21
327,Publikum,2019,SDP,21
328,Publikum,2019,SDP,21
329,Publikum,2019,SDP,21
330,Publikum,2019,SDP,21
331,Publikum,2019,SDP,21
332,Publikum,2019,SDP,21
333,Publikum,2019,SDP,21
334,Publikum,2019,SDP,21
335,Polizei,2019,SDP,21
336,Polizei,2019,SDP,21
337,Kurs,2019,SDP,20
338,Universalgenie,2019,SDP,20
339,Universalgenie,2019,SDP,20
340,Universalgenie,2019,SDP,20
341,Fans,2019,SDP,20
342,Zimmer,2019,SDP,24
343,Polizei,2019,SDP,24
344,Menschen,2019,SDP,24
345,Polizei,2019,SDP,24
346,Stimmen,2019,SDP,24
347,Nachtmensch,2019,SDP,24
348,Polizei,2019,SDP,24
349,Polizei,2019,SDP,24
350,Teenager,2019,SDP,24
351,Nachtmensch,2019,SDP,24
352,Mensch,2019,SDP,24
353,Kurs,2019,SDP,23
354,Universalgenie,2019,SDP,23
355,Universalgenie,2019,SDP,23
356,Universalgenie,2019,SDP,23
357,Fans,2019,SDP,23
358,Kreis,2022,Sido,61
359,Unternehmen,2022,Nina Chuba,68
360,Unternehmen,2022,Nina Chuba,68
361,Eltern,2022,Nina Chuba,68
362,Stimme,2022,Florian Künstler,28
363,Stimme,2022,Florian Künstler,28
364,Menschen,2023,badmómzjay,75
365,Menschen,2023,badmómzjay,75
366,Kamera,2023,badmómzjay,75
367,Menschen,2023,badmómzjay,75
368,Stimme,2022,Miksu / Macloud,8
369,Stimme,2022,Miksu / Macloud,8
370,Zimmer,2023,LIKA,61
371,Mensch,2023,Lune,58
